,0
2021-10-11 04:00:00+00:00,133766.685565796
2021-10-12 04:00:00+00:00,134090.43159796504
2021-10-13 04:00:00+00:00,133686.20322689164
2021-10-14 04:00:00+00:00,134973.26294205387
2021-10-15 04:00:00+00:00,134838.28967911183
2021-10-18 04:00:00+00:00,135292.02389316674
2021-10-19 04:00:00+00:00,136285.94972970025
2021-10-20 04:00:00+00:00,136778.54981778288
2021-10-21 04:00:00+00:00,137181.34307632188
2021-10-22 04:00:00+00:00,137038.98898287126
2021-10-25 04:00:00+00:00,137677.410072288
2021-10-26 04:00:00+00:00,137922.125904208
2021-10-27 04:00:00+00:00,137252.2438521943
2021-10-28 04:00:00+00:00,138574.00761927356
2021-10-29 04:00:00+00:00,138836.2337410882
2021-11-01 04:00:00+00:00,139078.36944256164
2021-11-02 04:00:00+00:00,139453.40356224094
2021-11-03 04:00:00+00:00,140075.14648135638
2021-11-04 04:00:00+00:00,140472.6882018245
2021-11-05 04:00:00+00:00,140827.56910606113
2021-11-08 05:00:00+00:00,140912.0063085073
2021-11-09 05:00:00+00:00,140593.34704252833
2021-11-10 05:00:00+00:00,141339.07240272418
2021-11-11 05:00:00+00:00,141413.78669761558
2021-11-12 05:00:00+00:00,142394.60471207093
2021-11-15 05:00:00+00:00,142395.03187129632
2021-11-16 05:00:00+00:00,142920.09059471643
2021-11-17 05:00:00+00:00,142582.80439375446
2021-11-18 05:00:00+00:00,143042.67882926887
2021-11-19 05:00:00+00:00,142862.10459776697
2021-11-22 05:00:00+00:00,142445.61125786282
2021-11-23 05:00:00+00:00,142670.79144619367
2021-11-24 05:00:00+00:00,142982.52300301314
2021-11-26 05:00:00+00:00,139965.51968977347
2021-11-29 05:00:00+00:00,141557.75906584726
2021-11-30 05:00:00+00:00,141574.31032745488
2021-12-01 05:00:00+00:00,141503.52317229114
2021-12-02 05:00:00+00:00,140499.7650386268
2021-12-03 05:00:00+00:00,141093.61857235647
2021-12-06 05:00:00+00:00,140264.5340257428
2021-12-07 05:00:00+00:00,140971.96918434827
2021-12-08 05:00:00+00:00,140830.99721516392
2021-12-09 05:00:00+00:00,139811.4922853771
2021-12-10 05:00:00+00:00,141152.26386265518
2021-12-13 05:00:00+00:00,139855.45262315552
2021-12-14 05:00:00+00:00,138787.09259743706
2021-12-15 05:00:00+00:00,141082.50654512673
2021-12-16 05:00:00+00:00,139841.4069604011
2021-12-17 05:00:00+00:00,141969.96612050768
2021-12-20 05:00:00+00:00,141827.9961543872
2021-12-21 05:00:00+00:00,143755.91993468412
2021-12-22 05:00:00+00:00,143612.16401474943
2021-12-23 05:00:00+00:00,144503.74879652655
2021-12-27 05:00:00+00:00,146485.2750471378
2021-12-28 05:00:00+00:00,146343.36857929788
2021-12-29 05:00:00+00:00,146544.1484494516
2021-12-30 05:00:00+00:00,146121.68561537375
2021-12-31 05:00:00+00:00,145749.55700814398
2022-01-03 05:00:00+00:00,146662.4708857173
2022-01-04 05:00:00+00:00,146574.07911202527
2022-01-05 05:00:00+00:00,143787.56495748681
2022-01-06 05:00:00+00:00,143648.95226948796
2022-01-07 05:00:00+00:00,146160.49866110669
2022-01-10 05:00:00+00:00,146014.33816244558
2022-01-11 05:00:00+00:00,148682.64414298252
2022-01-12 05:00:00+00:00,148533.96149883955
2022-01-13 05:00:00+00:00,149936.3686825111
2022-01-14 05:00:00+00:00,149786.43231382858
2022-01-18 05:00:00+00:00,152589.6839900119
2022-01-19 05:00:00+00:00,154081.1764463032
2022-01-20 05:00:00+00:00,155799.1151289473
2022-01-21 05:00:00+00:00,158732.44189456195
2022-01-24 05:00:00+00:00,158693.13693237628
2022-01-25 05:00:00+00:00,159401.8173662023
2022-01-26 05:00:00+00:00,159489.0743084794
2022-01-27 05:00:00+00:00,159804.73448789035
2022-01-28 05:00:00+00:00,159604.20664863405
2022-01-31 05:00:00+00:00,158136.67419320284
2022-02-01 05:00:00+00:00,159502.87862772556
2022-02-02 05:00:00+00:00,158038.30709108015
2022-02-03 05:00:00+00:00,161986.01547513594
2022-02-04 05:00:00+00:00,161184.697348046
2022-02-07 05:00:00+00:00,161784.05051392343
2022-02-08 05:00:00+00:00,160478.3839285283
2022-02-09 05:00:00+00:00,158222.13567800287
2022-02-10 05:00:00+00:00,161139.12191472563
2022-02-11 05:00:00+00:00,164251.89613972936
2022-02-14 05:00:00+00:00,164931.50596805185
2022-02-15 05:00:00+00:00,163750.76495641694
2022-02-16 05:00:00+00:00,163680.20431370186
2022-02-17 05:00:00+00:00,170576.43988040937
2022-02-18 05:00:00+00:00,171810.0445690589
2022-02-22 05:00:00+00:00,172927.45797446274
2022-02-23 05:00:00+00:00,174612.3806288711
2022-02-24 05:00:00+00:00,173372.14738514807
2022-02-25 05:00:00+00:00,171516.90217369873
2022-02-28 05:00:00+00:00,171736.77803619386
2022-03-01 05:00:00+00:00,173128.19689992125
2022-03-02 05:00:00+00:00,171580.20585782922
2022-03-03 05:00:00+00:00,172049.87231056124
2022-03-04 05:00:00+00:00,172759.9969930597
2022-03-07 05:00:00+00:00,175482.43604225744
2022-03-08 05:00:00+00:00,176154.32830478656
2022-03-09 05:00:00+00:00,174019.32624821298
2022-03-10 05:00:00+00:00,174418.83943076822
2022-03-11 05:00:00+00:00,175614.71988730377
2022-03-14 04:00:00+00:00,176304.48242069132
2022-03-15 04:00:00+00:00,174523.81314698062
2022-03-16 04:00:00+00:00,172661.90343755836
2022-03-17 04:00:00+00:00,175414.14463744283
2022-03-18 04:00:00+00:00,175326.4375651241
2022-03-21 04:00:00+00:00,175162.5394854883
2022-03-22 04:00:00+00:00,177138.2629937908
2022-03-23 04:00:00+00:00,174982.09838910043
2022-03-24 04:00:00+00:00,177488.42223691594
2022-03-25 04:00:00+00:00,178373.70647281874
2022-03-28 04:00:00+00:00,179622.36338867826
2022-03-29 04:00:00+00:00,181764.5198980209
2022-03-30 04:00:00+00:00,180695.50642616683
2022-03-31 04:00:00+00:00,177988.26510395034
2022-04-01 04:00:00+00:00,178584.57881177648
2022-04-04 04:00:00+00:00,179999.40119260957
2022-04-05 04:00:00+00:00,177826.30005500696
2022-04-06 04:00:00+00:00,176126.85713213793
2022-04-07 04:00:00+00:00,176870.76037401005
2022-04-08 04:00:00+00:00,176407.8744441812
2022-04-11 04:00:00+00:00,173410.27654339306
2022-04-12 04:00:00+00:00,178213.76547540052
2022-04-13 04:00:00+00:00,178035.55170992512
2022-04-14 04:00:00+00:00,181243.5280815181
2022-04-18 04:00:00+00:00,181062.2845534366
2022-04-19 04:00:00+00:00,184294.05708258363
2022-04-20 04:00:00+00:00,184109.76302550104
2022-04-21 04:00:00+00:00,186987.02429622502
2022-04-22 04:00:00+00:00,186800.0372719288
2022-04-25 04:00:00+00:00,185828.71316829562
2022-04-26 04:00:00+00:00,188510.867445994
2022-04-27 04:00:00+00:00,188315.57448491486
2022-04-28 04:00:00+00:00,186012.00954261617
